"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","100","20417","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","13","20","3.954","2.912","5","100.0","0.0","0.0","0.0","7","9","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","110","20418","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","18","33","3.761","3.091","3.7","94.4","0.0","0.0","0.0","16","0","16","1","0","0","0","0","0","0","0","0","0","1","5","6","0","0","1","0","0","0","3","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","120","20419","SOUL REVUE","Cooper,Tyron","18","22","4","2.895","0","100.0","0.0","0.0","0.0","4","18","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","150","20420","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","141","172","2.75","2.814","2.6","26.2","37.6","27.0","3.5","39","7","15","15","17","23","13","14","18","6","3","1","1","8","11","20","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","201","30003","INTRO AFR-AMER & AFR DIASPORA","Doss,Adeyemi Oduwale","30","38","3.707","2.619","0","76.7","16.7","3.3","3.3","8","1","21","1","4","1","0","1","0","0","0","1","0","0","3","5","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","265","20425","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","90","101","2.993","2.783","1.1","28.9","50.0","14.4","5.6","12","1","6","19","16","21","8","8","4","1","3","1","1","1","1","10","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","295","26065","SURVEY OF HIP HOP","Orejuela,Fernando","83","106","3.495","3.092","0","68.7","22.9","4.8","1.2","25","20","19","18","6","10","3","3","0","1","0","1","0","2","6","16","0","0","1","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","299","30005","SPEC TPC ARTS&HUMANITIES AAADS","Horsley,Marsha Nicole","14","20","3.914","2.576","5.6","100.0","0.0","0.0","0.0","6","4","6","4","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","304","33053","BLACK PARIS","Julien,Eileen","9","16","3.144","2.758","25","33.3","44.4","22.2","0.0","7","0","0","3","3","0","1","2","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","356","20442","AFRICAN-AMERICAN HISTORY II","Williams,Jakobi","22","30","2.723","2.835","16.7","22.7","31.8","36.4","9.1","8","0","2","3","3","4","0","4","2","2","1","1","0","0","2","6","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","360","30010","SLAVERY: WORLDWIDE PERSPECTIVE","Hamilton Abegunde,Maria Eliza","25","34","3.172","2.709","12","44.0","28.0","28.0","0.0","9","0","11","0","2","2","3","3","3","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","380","22730","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","24","38","3.383","3.115","12","33.3","66.7","0.0","0.0","14","0","1","7","11","5","0","0","0","0","0","0","0","0","0","13","1","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","386","30016","BLACK FEMINIST PERSPECTIVES","Louis,Diana Martha","15","29","3.4","2.627","0","60.0","33.3","0.0","0.0","15","4","3","2","2","3","0","0","0","0","0","0","0","1","6","6","2","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","8W2","Eight Week - Second","AAAD","AAAD-A","399","22475","ADV TPCS ARTS&HUMANITIES AAADS","Rosa,Iris","23","34","2.717","2.549","7.7","30.4","39.1","13.0","0.0","15","2","2","3","7","1","1","2","1","0","0","0","0","4","3","8","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","8W2","Eight Week - Second","AAAD","AAAD-A","399","26906","ADV TPCS ARTS&HUMANITIES AAADS","Wise,Raymond","14","18","2.957","2.637","14.3","28.6","42.9","28.6","0.0","4","2","1","1","0","4","2","1","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","399","29356","ADV TPCS ARTS&HUMANITIES AAADS","Wolfskill,Phoebe","8","10","2.713","2.908","44.4","37.5","25.0","25.0","0.0","3","0","2","1","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","06-12-2015",
"Spring 2015","4152","1","Regular Academic Session","AAAD","AAAD-A","399","31362","ADV TPCS ARTS&HUMANITIES AAADS","Burnim,Mellonee Victoria","8","8","2.275","2.632","12.5","12.5","0.0","75.0","12.5","0","0","0","1","0","0","0","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2015",
