"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2004","4042","","","AFRO","AFRO","A380","0294","","MCELROY F","54","58","3.41","2.89","0","38.9","61.1","0.0","0.0","4","0","3","18","23","8","2","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A393","0295","","BAKER D","36","45","3.33","3.00","0","61.1","25.0","5.6","2.8","11","0","22","0","0","9","0","0","2","0","0","1","0","2","6","1","0","0","2","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A452","0299","","MCCLUSKEY A","20","26","3.22","2.82","0","25.0","70.0","5.0","0.0","6","0","3","2","4","8","2","1","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A479","0300","","JEMIE O","16","17","2.92","2.87","0","31.3","56.3","0.0","0.0","3","0","2","3","3","5","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A481","0301","","MOTLEY F","25","39","3.15","2.79","0","40.0","44.0","12.0","4.0","14","2","2","6","5","3","3","0","3","0","0","1","0","0","10","2","2","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A503","0319","","GRIM V","6","7","3.90","3.72","0","100.0","0.0","0.0","0.0","1","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AFRO","AFRO","A690","0324","","MCCLUSKEY J","8","10","3.85","3.83","0","100.0","0.0","0.0","0.0","2","0","4","4","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H168","0466","","WANG L","16","28","2.44","2.87","21","0.0","37.5","56.3","6.3","12","0","0","0","2","1","3","8","1","0","0","1","0","0","3","9","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H168","0467","","LIPSICK-NEWMAN M","18","24","2.65","3.08","21","11.1","44.4","44.4","0.0","6","0","0","2","2","2","4","3","5","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H203","0433","","EMBRY-HUNT M","79","82","2.77","2.89","79","17.7","45.6","26.6","8.9","4","2","6","6","18","9","9","12","7","2","7","0","0","1","0","3","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H204","0438","","BOMBERGER D","51","53","3.21","3.00","94","27.5","60.8","11.8","0.0","2","1","7","6","18","9","4","3","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H209","0439","","SHAFFER J","246","268","2.77","2.92","35","19.9","43.5","29.3","5.3","27","6","23","20","46","37","24","37","20","15","7","3","3","5","10","12","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H211","0440","","ROWOLD K","9","10","3.48","3.38","20","44.4","55.6","0.0","0.0","1","1","2","1","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H264","0468","","SNYDER O","12","13","3.61","3.13","85","58.3","41.7","0.0","0.0","1","0","5","2","3","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2004",
