"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2005","4052","","","AADM","AADM-Y","412","1002","OPERA MANAGEMENT","Pickett,John Coleman","6","6","3.950","3.548","66.7","100.0","0.0","0.0","0.0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AADM","AADM-Y","525","1003","MUSEUM MANAGEMENT","Kirk,Judith Ann","15","17","3.960","3.580","82.4","100.0","0.0","0.0","0.0","2","0","13","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AADM","AADM-Y","625","1005","MGMT COMMUNICATIONS FOR ARTS","Lame,Marc Louis","14","14","3.429","3.517","100.0","42.9","57.1","0.0","0.0","0","0","6","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","ABEH","ABEH-A","501","1009","SEM INTEG STDY OF ANM BEH","Alberts,Jeffrey R","7","7","3.700","3.876","0.0","100.0","0.0","0.0","0.0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AERO","AERO-A","100","1010","INTRO TO AEROSPACE STUDIES","Weddle,Rick Alan","62","76","2.827","2.482","0.0","30.6","35.5","25.8","1.6","18","3","9","7","8","11","3","6","6","4","1","0","0","4","8","4","0","0","2","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AERO","AERO-A","102","1011","THE AIR FORCE TODAY II","Weddle,Rick Alan","9","10","3.733","3.208","0.0","66.7","33.3","0.0","0.0","1","3","2","1","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AERO","AERO-A","202","1015","THE DEV OF AIR POWER II","West,James Cameron","9","11","3.633","3.173","0.0","66.7","33.3","0.0","0.0","2","1","3","2","1","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AERO","AERO-A","302","1019","AIR FORCE MGMT & LEADERSHIP II","West,James Cameron","15","15","3.533","3.145","0.0","53.3","46.7","0.0","0.0","0","2","2","4","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AERO","AERO-A","402","1023","NTL SEC FRC IN CONT AM SOC II","Bass,Lori M.","10","10","3.610","3.243","0.0","70.0","30.0","0.0","0.0","0","0","3","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRI","AFRI-L","232","1026","CONTEMPORARY AFRICA","Goodman,Richard David","32","43","3.338","3.123","0.0","53.1","37.5","6.3","0.0","12","5","4","8","4","6","2","2","0","0","0","0","0","1","4","7","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRO","AFRO-A","100","1027","AFRO-AMERICAN DANCE COMPANY","Rosa,Iris","14","15","3.864","3.070","0.0","92.9","7.1","0.0","0.0","1","9","2","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRO","AFRO-A","110","1028","AFRO-AMER CHORAL ENSEMBLE","Mumford,James Earl","46","53","3.654","2.516","3.9","71.7","23.9","4.3","0.0","7","7","21","5","5","3","3","0","2","0","0","0","0","0","3","2","2","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRO","AFRO-A","120","1029","SOUL REVUE/BL POP ARTS ENSEM","Cooper,Tyron","16","16","4.000","3.000","0.0","100.0","0.0","0.0","0.0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRO","AFRO-A","142","1031","INTRO WRITNG & ST OF BL LIT 2","McElroy,Frederick","75","83","2.911","2.799","2.5","41.3","32.0","12.0","5.3","15","2","27","2","6","15","3","1","7","1","0","4","0","7","3","3","2","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRO","AFRO-A","150","1035","SURV CULTR OF BLACK AMERICANS","Williams,Vernon","106","132","3.622","2.751","3.2","81.1","12.3","2.8","0.0","30","16","46","24","7","6","0","1","1","1","0","0","0","4","10","6","10","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRO","AFRO-A","169","23772","INTRO TO AFRO-AMER LITERATURE","McCluskey,John A.","25","33","2.476","2.707","0.0","12.0","44.0","24.0","16.0","9","0","2","1","3","3","5","3","2","1","4","0","0","1","4","4","0","0","0","0","0","0","0","0","06-14-2005",
"Spring 2005","4052","","","AFRO","AFRO-A","265","1044","SPORTS & AFRO-AMER EXPERIENCE","Sailes,Gary A","144","158","3.197","3.041","0.7","30.6","60.4","8.3","0.0","15","0","28","16","22","56","9","4","5","3","0","0","0","1","3","10","0","0","1","0","0","0","0","0","06-14-2005",
