"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","100","8115","AF AM DANCE COMPNY FOUNDATIONS","Rosa,Iris","9","9","4","3.35","0","100.0","0.0","0.0","0.0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","110","8116","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","13","19","3.7","3.14","5.6","84.6","7.7","7.7","0.0","6","0","8","3","1","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","3","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","113","30042","ATKINS LLC FOUNDATIONAL COURSE","Khan-Thomas,Zeba Yvonne","12","12","3.842","2.656","0","91.7","8.3","0.0","0.0","0","1","6","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","120","8117","SOUL REVUE FOUNDATIONS","Taliefero,Crystal Louise","9","10","4","3.219","0","100.0","0.0","0.0","0.0","1","3","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","150","8118","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","147","168","2.8","2.853","1.3","36.7","31.3","17.0","6.8","33","10","22","22","19","14","13","11","7","7","6","2","2","12","7","14","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","156","15633","JIM CROW AND APARTHEID","Mahady,Anne E.","27","32","3.407","3.1","0","63.0","22.2","11.1","0.0","6","5","9","3","2","4","0","1","2","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","203","15530","STUDYING BLACKS OF NEW WORLD","Smith,Candis D","32","36","2.756","2.625","0","21.9","50.0","18.8","6.3","5","0","1","6","3","9","4","2","3","1","1","0","1","1","0","4","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","210","15531","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","26","30","2.6","2.691","0","19.2","46.2","23.1","7.7","5","0","3","2","2","2","8","0","4","2","2","0","0","1","1","3","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","238","15528","COMMUNICATION IN BLACK AMERICA","Calloway-Thomas,Carolyn","25","39","2.972","2.658","0","24.0","60.0","16.0","0.0","14","0","1","5","3","5","7","2","0","2","0","0","0","0","6","3","5","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","249","15526","AFRICAN AMERICAN AUTOBIOGRAPHY","McElroy,Frederick L.","29","32","3.5","2.914","3.2","55.2","44.8","0.0","0.0","3","0","6","10","8","2","3","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","265","8123","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","125","141","3.043","2.799","0","40.0","36.8","16.0","4.8","19","4","21","25","19","15","12","10","4","6","2","4","0","3","3","13","0","0","0","0","0","0","0","0","06-16-2017",
